adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001193125-24-075464,18,1,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,CurrentTaxExpenseIncome,ifrs/2023
0001193125-24-075464,10,17,1,CurrentLiabilities,ifrs/2023,CurrentTaxLiabilitiesCurrent,ifrs/2023
0001193125-24-075464,9,1,1,TradeAndOtherCurrentReceivables,ifrs/2023,CurrentTradeReceivables,ifrs/2023
0001193125-24-075464,8,1,1,Nettradereceivables,0001193125-24-075464,CurrentTradeReceivables,ifrs/2023
0001193125-24-075464,9,2,1,TradeAndOtherCurrentReceivables,ifrs/2023,CurrentValueAddedTaxReceivables,ifrs/2023
0001193125-24-075464,26,2,1,OtherFinancialLiabilities,ifrs/2023,DeferredIncomeIncludingContractLiabilities,ifrs/2023
0001193125-24-075464,12,1,-1,DeferredTaxLiabilityAsset,ifrs/2023,DeferredTaxAssets,ifrs/2023
0001193125-24-075464,10,14,1,NoncurrentAssets,ifrs/2023,DeferredTaxAssets,ifrs/2023
0001193125-24-075464,15,2,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,DeferredTaxAssetsRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,18,2,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,DeferredTaxExpenseIncome,ifrs/2023
0001193125-24-075464,12,2,1,DeferredTaxLiabilityAsset,ifrs/2023,DeferredTaxLiabilities,ifrs/2023
0001193125-24-075464,1,7,1,CostOfSales,ifrs/2023,DepreciationAndAmortisationExpense,ifrs/2023
0001193125-24-075464,14,3,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,DepreciationAndAmortisationExpense,ifrs/2023
0001193125-24-075464,4,3,-1,ProfitLoss,ifrs/2023,DepreciationAndAmortisationExpense,ifrs/2023
0001193125-24-075464,7,1,-1,NetFinancialInstruments,0001193125-24-075464,DerivativeFinancialAssets,ifrs/2023
0001193125-24-075464,22,2,1,ReceivablesInvestmentsAndOther,0001193125-24-075464,DerivativeFinancialAssets,ifrs/2023
0001193125-24-075464,6,4,1,FinancialAssets,ifrs/2023,DerivativeFinancialAssets,ifrs/2023
0001193125-24-075464,6,10,1,FinancialLiabilities,ifrs/2023,DerivativeFinancialLiabilities,ifrs/2023
0001193125-24-075464,26,3,1,OtherFinancialLiabilities,ifrs/2023,DerivativeFinancialLiabilities,ifrs/2023
0001193125-24-075464,7,3,1,NetFinancialInstruments,0001193125-24-075464,DerivativeFinancialLiabilities,ifrs/2023
0001193125-24-075464,13,2,1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,DividendsClassifiedAsExpense,ifrs/2023
0001193125-24-075464,14,31,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,DividendsPaidClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-075464,14,16,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,DividendsReceivedClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-075464,10,25,1,EquityAndLiabilities,ifrs/2023,Equity,ifrs/2023
0001193125-24-075464,11,6,1,NetDebtAndEquity,0001193125-24-075464,Equity,ifrs/2023
0001193125-24-075464,10,26,1,Equity,ifrs/2023,EquityAttributableToOwnersOfParent,ifrs/2023
0001193125-24-075464,1,9,-1,ProfitLossFromOperatingActivities,ifrs/2023,ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,ifrs/2023
0001193125-24-075464,20,2,1,FinanceCosts,ifrs/2023,ExpenseDueToUnwindingOfDiscountOnProvisions,ifrs/2023
0001193125-24-075464,29,6,1,EmployeeBenefitsExpense,ifrs/2023,ExpenseFromCashsettledSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssets,ifrs/2023
0001193125-24-075464,29,5,1,EmployeeBenefitsExpense,ifrs/2023,ExpenseFromEquitysettledSharebasedPaymentTransactionsInWhichGoodsOrServicesReceivedDidNotQualifyForRecognitionAsAssets,ifrs/2023
0001193125-24-075464,13,6,1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,ExpenseFromSharebasedPaymentTransactionsWithEmployees,ifrs/2023
0001193125-24-075464,22,1,1,ReceivablesInvestmentsAndOther,0001193125-24-075464,FairValueOfInvestmentsInEquityInstrumentsDesignatedAsMeasuredAtFairValueThroughOtherComprehensiveIncome,ifrs/2023
0001193125-24-075464,14,8,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,FinanceCosts,ifrs/2023
0001193125-24-075464,4,5,-1,ProfitLoss,ifrs/2023,FinanceCosts,ifrs/2023
0001193125-24-075464,1,13,-1,ProfitLossBeforeTax,ifrs/2023,FinanceCosts,ifrs/2023
0001193125-24-075464,1,15,1,ProfitLossBeforeTax,ifrs/2023,FinanceIncome,ifrs/2023
0001193125-24-075464,4,4,1,ProfitLoss,ifrs/2023,FinanceIncome,ifrs/2023
0001193125-24-075464,14,9,-1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,FinanceIncome,ifrs/2023
0001193125-24-075464,6,1,1,NetFinancialAssetsLiabilies,0001193125-24-075464,FinancialAssets,ifrs/2023
0001193125-24-075464,6,6,-1,NetFinancialAssetsLiabilies,0001193125-24-075464,FinancialLiabilities,ifrs/2023
0001193125-24-075464,23,5,1,ComprehensiveIncome,ifrs/2023,GainsLossesOnCashFlowHedgesNetOfTax,ifrs/2023
0001193125-24-075464,1,14,1,ProfitLossBeforeTax,ifrs/2023,GainsLossesOnChangeInFairValueOfDerivatives,ifrs/2023
0001193125-24-075464,1,12,1,ProfitLossFromOperatingActivities,ifrs/2023,GainsLossesOnDisposalsOfPropertyPlantAndEquipment,ifrs/2023
0001193125-24-075464,23,6,1,ComprehensiveIncome,ifrs/2023,GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,ifrs/2023
0001193125-24-075464,27,1,1,OtherIncome,ifrs/2023,GainsLossesOnExchangeDifferencesOnTranslationRecognisedInProfitOrLoss,ifrs/2023
0001193125-24-075464,3,4,1,NetAssetsLiabilities,ifrs/2023,Goodwill,ifrs/2023
0001193125-24-075464,16,5,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,GoodwillRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,1,3,1,ProfitLossFromOperatingActivities,ifrs/2023,GrossProfit,ifrs/2023
0001193125-24-075464,16,4,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,IdentifiableIntangibleAssetsRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,14,15,-1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-075464,14,13,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,IncomeTaxExpenseContinuingOperations,ifrs/2023
0001193125-24-075464,1,18,-1,ProfitLoss,ifrs/2023,IncomeTaxExpenseContinuingOperations,ifrs/2023
0001193125-24-075464,4,7,-1,ProfitLoss,ifrs/2023,IncomeTaxExpenseContinuingOperations,ifrs/2023
0001193125-24-075464,13,7,-1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,IncreaseDecreaseThroughEffectOfChangesInForeignExchangeRatesLiabilitiesArisingFromFinancingActivities,ifrs/2023
0001193125-24-075464,13,5,-1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,IncreaseDecreaseThroughOtherChangesLiabilitiesArisingFromFinancingActivities,ifrs/2023
0001193125-24-075464,13,4,-1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,IncreaseThroughNewLeasesLiabilitiesArisingFromFinancingActivities,ifrs/2023
0001193125-24-075464,10,11,1,NoncurrentAssets,ifrs/2023,IntangibleAssetsAndGoodwill,ifrs/2023
0001193125-24-075464,3,3,1,NetAssetsLiabilities,ifrs/2023,IntangibleAssetsOtherThanGoodwill,ifrs/2023
0001193125-24-075464,13,3,1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,InterestExpense,ifrs/2023
0001193125-24-075464,2,2,-1,PostemploymentBenefitExpenseDefinedBenefitPlans,ifrs/2023,InterestExpenseIncomeNetDefinedBenefitLiabilityAsset,ifrs/2023
0001193125-24-075464,20,1,1,FinanceCosts,ifrs/2023,InterestExpenseOnBorrowings,ifrs/2023
0001193125-24-075464,14,27,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,InterestPaidClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-075464,14,14,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,InterestReceivedClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-075464,10,6,1,CurrentAssets,ifrs/2023,Inventories,ifrs/2023
0001193125-24-075464,15,3,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,InventoryRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,10,13,1,NoncurrentAssets,ifrs/2023,InvestmentAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-075464,10,27,1,EquityAttributableToOwnersOfParent,ifrs/2023,IssuedCapital,ifrs/2023
0001193125-24-075464,21,3,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationPostemploymentBenefits,ifrs/2023
0001193125-24-075464,21,2,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationSharebasedPayment,ifrs/2023
0001193125-24-075464,21,1,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationShorttermEmployeeBenefits,ifrs/2023
0001193125-24-075464,21,4,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationTerminationBenefits,ifrs/2023
0001193125-24-075464,6,8,1,FinancialLiabilities,ifrs/2023,LeaseLiabilities,ifrs/2023
0001193125-24-075464,26,5,1,OtherFinancialLiabilities,ifrs/2023,LeaseLiabilities,ifrs/2023
0001193125-24-075464,5,2,1,Borrowings,ifrs/2023,LongtermBorrowings,ifrs/2023
0001193125-24-075464,6,11,1,FinancialLiabilities,ifrs/2023,LongtermBorrowings,ifrs/2023
0001193125-24-075464,10,22,1,NoncurrentLiabilities,ifrs/2023,LongtermBorrowings,ifrs/2023
0001193125-24-075464,7,4,1,NetFinancialInstruments,0001193125-24-075464,LongtermBorrowings,ifrs/2023
0001193125-24-075464,11,3,1,LongtermBorrowingsNetOfCashAndCashEquivalent,0001193125-24-075464,LongtermBorrowings,ifrs/2023
0001193125-24-075464,10,31,1,Equity,ifrs/2023,NoncontrollingInterests,ifrs/2023
0001193125-24-075464,3,5,1,NetAssetsLiabilities,ifrs/2023,NoncurrentAssets,ifrs/2023
0001193125-24-075464,10,9,1,Assets,ifrs/2023,NoncurrentAssets,ifrs/2023
0001193125-24-075464,16,6,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,NoncurrentAssetsRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,10,21,1,EquityAndLiabilities,ifrs/2023,NoncurrentLiabilities,ifrs/2023
0001193125-24-075464,3,7,-1,NetAssetsLiabilities,ifrs/2023,NoncurrentLiabilities,ifrs/2023
0001193125-24-075464,16,8,-1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,NoncurrentLiabilitiesRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,22,5,1,ReceivablesInvestmentsAndOther,0001193125-24-075464,NoncurrentLoansAndReceivables,ifrs/2023
0001193125-24-075464,10,24,1,NoncurrentLiabilities,ifrs/2023,NoncurrentProvisions,ifrs/2023
0001193125-24-075464,26,6,1,OtherFinancialLiabilities,ifrs/2023,OtherBorrowings,ifrs/2023
0001193125-24-075464,24,2,1,ComprehensiveIncome,ifrs/2023,OtherComprehensiveIncome,ifrs/2023
0001193125-24-075464,23,10,1,OtherComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeAttributableToNoncontrollingInterests,ifrs/2023
0001193125-24-075464,23,9,1,OtherComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeAttributableToOwnersOfParent,ifrs/2023
0001193125-24-075464,23,4,1,ComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,ifrs/2023
0001193125-24-075464,23,3,1,ComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,ifrs/2023
0001193125-24-075464,23,2,1,ComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,ifrs/2023
0001193125-24-075464,3,2,1,NetAssetsLiabilities,ifrs/2023,OtherCurrentAssets,ifrs/2023
0001193125-24-075464,10,19,1,CurrentLiabilities,ifrs/2023,OtherCurrentFinancialLiabilities,ifrs/2023
0001193125-24-075464,26,8,1,OtherNoncurrentFinancialLiabilities,ifrs/2023,OtherCurrentFinancialLiabilities,ifrs/2023
0001193125-24-075464,28,2,1,TradeAndOtherCurrentPayables,ifrs/2023,OtherCurrentPayables,ifrs/2023
0001193125-24-075464,9,3,1,TradeAndOtherCurrentReceivables,ifrs/2023,OtherCurrentReceivables,ifrs/2023
0001193125-24-075464,4,6,-1,ProfitLoss,ifrs/2023,OtherExpenseByFunction,ifrs/2023
0001193125-24-075464,26,1,1,OtherNoncurrentFinancialLiabilities,ifrs/2023,OtherFinancialLiabilities,ifrs/2023
0001193125-24-075464,1,17,1,ProfitLossBeforeTax,ifrs/2023,OtherIncome,ifrs/2023
0001193125-24-075464,14,21,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-075464,14,17,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-075464,26,7,1,OtherFinancialLiabilities,ifrs/2023,OtherLiabilities,ifrs/2023
0001193125-24-075464,10,23,1,NoncurrentLiabilities,ifrs/2023,OtherNoncurrentFinancialLiabilities,ifrs/2023
0001193125-24-075464,1,11,1,ProfitLossFromOperatingActivities,ifrs/2023,OtherOperatingIncomeExpense,ifrs/2023
0001193125-24-075464,14,12,-1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,OtherOperatingIncomeExpense,ifrs/2023
0001193125-24-075464,22,6,1,ReceivablesInvestmentsAndOther,0001193125-24-075464,OtherReceivables,ifrs/2023
0001193125-24-075464,17,7,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,OtherTaxEffectsForReconciliationBetweenAccountingProfitAndTaxExpenseIncome,ifrs/2023
0001193125-24-075464,14,30,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-075464,29,3,1,EmployeeBenefitsExpense,ifrs/2023,PostemploymentBenefitExpenseDefinedBenefitPlans,ifrs/2023
0001193125-24-075464,29,4,1,EmployeeBenefitsExpense,ifrs/2023,PostemploymentBenefitExpenseDefinedContributionPlans,ifrs/2023
0001193125-24-075464,14,25,1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,ProceedsFromBorrowingsClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-075464,14,28,1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,ProceedsFromIssuingShares,ifrs/2023
0001193125-24-075464,14,23,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-075464,14,2,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,ProfitLoss,ifrs/2023
0001193125-24-075464,23,1,1,ComprehensiveIncome,ifrs/2023,ProfitLoss,ifrs/2023
0001193125-24-075464,24,1,1,ComprehensiveIncome,ifrs/2023,ProfitLoss,ifrs/2023
0001193125-24-075464,1,20,1,ProfitLoss,ifrs/2023,ProfitLossAttributableToNoncontrollingInterests,ifrs/2023
0001193125-24-075464,1,19,1,ProfitLoss,ifrs/2023,ProfitLossAttributableToOwnersOfParent,ifrs/2023
0001193125-24-075464,1,1,1,ProfitLoss,ifrs/2023,ProfitLossBeforeTax,ifrs/2023
0001193125-24-075464,1,2,1,ProfitLossBeforeTax,ifrs/2023,ProfitLossFromOperatingActivities,ifrs/2023
0001193125-24-075464,10,10,1,NoncurrentAssets,ifrs/2023,PropertyPlantAndEquipment,ifrs/2023
0001193125-24-075464,16,3,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,PropertyPlantAndEquipmentRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,15,1,1,IdentifiableAssetsAcquiredLiabilitiesAssumed,ifrs/2023,PropertyPlantAndEquipmentRecognisedAsOfAcquisitionDate,ifrs/2023
0001193125-24-075464,14,19,-1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-075464,26,4,1,OtherFinancialLiabilities,ifrs/2023,RecognisedLiabilitiesDefinedBenefitPlan,ifrs/2023
0001193125-24-075464,14,26,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,RepaymentsOfBorrowingsClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-075464,1,10,-1,ProfitLossFromOperatingActivities,ifrs/2023,ResearchAndDevelopmentExpense,ifrs/2023
0001193125-24-075464,10,29,1,EquityAttributableToOwnersOfParent,ifrs/2023,RetainedEarnings,ifrs/2023
0001193125-24-075464,2,5,1,GainLossOnRemeasurementOfNetDefinedBenefitLiabilityAsset,ifrs/2023,ReturnOnPlanAssetsNetDefinedBenefitLiabilityAsset,ifrs/2023
0001193125-24-075464,4,1,1,ProfitLoss,ifrs/2023,Revenue,ifrs/2023
0001193125-24-075464,1,4,1,GrossProfit,ifrs/2023,Revenue,ifrs/2023
0001193125-24-075464,1,16,1,ProfitLossBeforeTax,ifrs/2023,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-075464,14,10,-1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-075464,10,28,1,EquityAttributableToOwnersOfParent,ifrs/2023,SharePremium,ifrs/2023
0001193125-24-075464,10,3,1,CurrentAssets,ifrs/2023,ShorttermDepositsNotClassifiedAsCashEquivalents,ifrs/2023
0001193125-24-075464,6,3,1,FinancialAssets,ifrs/2023,ShorttermDepositsNotClassifiedAsCashEquivalents,ifrs/2023
0001193125-24-075464,11,5,-1,LongtermBorrowingsNetOfCashAndCashEquivalent,0001193125-24-075464,ShorttermDepositsNotClassifiedAsCashEquivalents,ifrs/2023
0001193125-24-075464,29,2,1,EmployeeBenefitsExpense,ifrs/2023,SocialSecurityContributions,ifrs/2023
0001193125-24-075464,17,2,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfForeignTaxRates,ifrs/2023
0001193125-24-075464,17,1,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxExpenseIncomeAtApplicableTaxRate,ifrs/2023
0001193125-24-075464,10,16,1,CurrentLiabilities,ifrs/2023,TradeAndOtherCurrentPayables,ifrs/2023
0001193125-24-075464,6,7,1,FinancialLiabilities,ifrs/2023,TradeAndOtherCurrentPayables,ifrs/2023
0001193125-24-075464,28,3,1,TradeAndOtherCurrentPayables,ifrs/2023,TradeAndOtherCurrentPayablesToRelatedParties,ifrs/2023
0001193125-24-075464,28,1,1,TradeAndOtherCurrentPayables,ifrs/2023,TradeAndOtherCurrentPayablesToTradeSuppliers,ifrs/2023
0001193125-24-075464,6,5,1,FinancialAssets,ifrs/2023,TradeAndOtherCurrentReceivables,ifrs/2023
0001193125-24-075464,10,4,1,CurrentAssets,ifrs/2023,TradeAndOtherCurrentReceivables,ifrs/2023
0001193125-24-075464,29,1,1,EmployeeBenefitsExpense,ifrs/2023,WagesAndSalaries,ifrs/2023
0001193125-24-075464,25,3,1,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023,AdjustmentsForDecreaseIncreaseInSuppliesAndPrepaid,0001193125-24-075464
0001193125-24-075464,2,3,1,PostemploymentBenefitExpenseDefinedBenefitPlans,ifrs/2023,AdministrativeCostsPostemploymentBenefitPlan,0001193125-24-075464
0001193125-24-075464,13,1,1,NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,AmortisationOfFinancingCosts,0001193125-24-075464
0001193125-24-075464,22,4,1,ReceivablesInvestmentsAndOther,0001193125-24-075464,AmountsReceivableFromTaxAuthorityRelatedToTaxDisputes,0001193125-24-075464
0001193125-24-075464,14,22,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,ChangeInLongTermReceivablesInvestmentAndOther,0001193125-24-075464
0001193125-24-075464,17,3,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,ChangeInUnrecognizedDeferredTaxAssets,0001193125-24-075464
0001193125-24-075464,4,2,-1,ProfitLoss,ifrs/2023,Costofgoodssoldexcludingdepreciationdepletionandamortization,0001193125-24-075464
0001193125-24-075464,1,6,1,CostOfSales,ifrs/2023,Costofgoodssoldexcludingdepreciationdepletionandamortization,0001193125-24-075464
0001193125-24-075464,19,1,1,Inventories,ifrs/2023,CurrentConcentrateInventory,0001193125-24-075464
0001193125-24-075464,10,8,1,CurrentAssets,ifrs/2023,CurrentRecivablesInvestmentsAndOther,0001193125-24-075464
0001193125-24-075464,20,3,1,FinanceCosts,ifrs/2023,FeesRelatedToCreditFacilities,0001193125-24-075464
0001193125-24-075464,2,4,1,GainLossOnRemeasurementOfNetDefinedBenefitLiabilityAsset,ifrs/2023,GainLossRelatedActuarialChangesFromAssumptionsAndAdjustments,0001193125-24-075464
0001193125-24-075464,17,4,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,Incomeinequityaccountedinvesteetaxeffectsforreconciliationbetweenaccountingprofitandtaxexpenseincome,0001193125-24-075464
