tag,version,custom,abstract,datatype,iord,crdr,tlabel,doc
CamecoMarketingIncMember,0001193125-24-075464,1,1,member,,,Cameco Marketing Inc. [member],Cameco Marketing Inc.
CamecoUsHoldingsIncMember,0001193125-24-075464,1,1,member,,,"Cameco U.S. Holdings, Inc. [Member]",
CanadianEquitySecuritiesMember,0001193125-24-075464,1,1,member,,,Canadian Equity Securities [member],This member stands for Canadian equity securities.
CanadianFixedIncomeMember,0001193125-24-075464,1,1,member,,,Canadian Fixed Income [member],This member stands for Canadian fixed income.
CapitalExpenditures,0001193125-24-075464,1,0,monetary,D,C,Capital Expenditures,"The cash outflow for property, plant and equipment."
CareAndMaintenanceExpense,0001193125-24-075464,1,0,monetary,D,D,Care and maintenance,Costs directly expensed to cost of sales that are incurred to maintain production facilities during suspension of production.
CashAndCashEquivalentsMember,0001193125-24-075464,1,1,member,,,Cash and cash equivalents [member],"This member stands for, cash and cash equivalent."
CashSettledPlanMember,0001193125-24-075464,1,1,member,,,Cash Settled Plan [Member],Cash-setteld plan.
ChangeInLongTermReceivablesInvestmentAndOther,0001193125-24-075464,1,0,monetary,D,D,Change In Long Term Receivables Investment And Other,"Decrease (increase) in long term receivables, investments classified as investing activities."
ChangeInUnrecognizedDeferredTaxAssets,0001193125-24-075464,1,0,monetary,D,D,Change in unrecognized deferred tax assets,The amount representing the difference between the tax expense (income) and the product of the accounting profit multiplied by the applicable tax rate(s) that relates to change in unrecognized deferred tax assets.
ChangesInNonCashWorkingCapital,0001193125-24-075464,1,1,,,,Changes in non cash working capital [Abstract],
ChangesInOtherProvisionsExpensed,0001193125-24-075464,1,0,monetary,D,D,Changes In Other Provisions Expensed,The amount of changes that an entity recognizes through profit and loss during the year.
CigarLakeMember,0001193125-24-075464,1,1,member,,,Cigar Lake [Member],"Cigar Lake, joint operation."
ClassbsharesMember,0001193125-24-075464,1,1,member,,,Class B Shares [Member],This member represents class B shares.
ClassesOfShareHolderMemberDomain,0001193125-24-075464,1,1,member,,,Classes Of Share Holder [Member],This member stands for the the type of shareholder of the company
ClassesOfShareHoldersAxis,0001193125-24-075464,1,1,axis,,,Classes Of Share Holders [Axis],The axis of a table to define resident and non-resident shareholders of the company
CollateralAccountTerm,0001193125-24-075464,1,0,duration,D,,Collateral Account Term,Collateral Account Term
CorporateCustomersMember,0001193125-24-075464,1,1,member,,,Corporate customers [Member],Corporate customers for uranic services
Costofgoodssoldexcludingdepreciationdepletionandamortization,0001193125-24-075464,1,0,monetary,D,D,Cost of goods sold excluding depreciation depletion and amortization,"The aggregate cost of goods produced and sold during the reporting period, excluding depreciation, depletion, and amortization."
CreditFacilityMaturity,0001193125-24-075464,1,0,string,D,,Credit Facility Maturity,"Date when the credit facility is schedule to expire, in CCYY-MM-DD."
CrowButteResourcesIncMember,0001193125-24-075464,1,1,member,,,"Crow Butte Resources, Inc. [member]","Crow Butte Resources, Inc."
CurrentConcentrateInventory,0001193125-24-075464,1,0,monetary,I,D,Current Concentrate Inventory,A classification of current inventory representing the amount of concentrate U3O8.
CurrentPortionOfLongtermReceivablesInvestmentsAndOtherMember,0001193125-24-075464,1,1,member,,,"Current portion of long-term receivables, investments and other [member]","This member stands for current portion of long-term receivables, investments and other classification on Financial Position."
CurrentPortionOfOtherLiabilitiesMember,0001193125-24-075464,1,1,member,,,Current portion of other liabilities [member],This member stands for current portion of other liabilities classification on financial position.
CurrentRecivablesInvestmentsAndOther,0001193125-24-075464,1,0,monetary,I,D,"Current portion of long-term receivables, investments and other","The amount of current portion of long term receivables, investments and other items."
DeferredShareUnitPlanMember,0001193125-24-075464,1,1,member,,,Deferred Share Unit Plan [member],Deferred share unit plan.
DeferredTaxAssetsDefinedBenefitPlanActuarialLossesMember,0001193125-24-075464,1,1,member,,,Defined benefit plan actuarial losses [member],Deferred tax assets attributable to defined benefit plan and acturial losses.
DeferredTaxAssetsIncomeForeignExplorationAndDevelopmentMember,0001193125-24-075464,1,1,member,,,Foreign exploration and development [member],Deferred tax assets attributable to foreign exploration and development.
DeferredTaxAssetsInventoriesMember,0001193125-24-075464,1,1,member,,,"Deferred tax assets, inventories [member]",Deferred tax assets attributable to inventories.
DeferredTaxAssetsLongTermInvestmentAndOtherMember,0001193125-24-075464,1,1,member,,,"Long-term investments and other, deferred tax assets [member]",Deferred tax assets attributable to long term investment and other.
DeferredTaxAssetsMember,0001193125-24-075464,1,1,member,,,Deferred tax assets [member],Total amount attributable to deferred tax assets.
DeferredTaxAssetsPropertyPlantAndEquipmentMember,0001193125-24-075464,1,1,member,,,"Property, plant and equipment, deferred tax assets [Member]","Deferred tax assets attributable to Property, plant and equipment."
DeferredTaxAssetsProvisionForReclamationtMember,0001193125-24-075464,1,1,member,,,"Provision for reclamation, deferred tax assets [member]",Deferred tax assets attributable to reclamation provision.
DeferredTaxLiabilitiesMember,0001193125-24-075464,1,1,member,,,Deferred tax liabilities [Member],Total amount attributable to deferred tax liabilities.
DeferredTaxLiabilityInventoriesMember,0001193125-24-075464,1,1,member,,,"Deferred tax liabilities, inventories [member]",Deferred tax liabilities attributable to inventories.
DeferredTaxLiabilityPropertyPlantEquipmentMember,0001193125-24-075464,1,1,member,,,"Deferred tax liabilities property, plant and equipment [Member]",Deferred tax liabilities attributable to property plant and equipment.
DefinedBenefitObligationAndNetPensionAndOtherBenefitExpenseMember,0001193125-24-075464,1,1,member,,,Defined benefit obligation and net pension and other benefit expense [Member],This member stands for defined benefit obligation and net pension and other benefit expense.
DescriptionOfAccountingPolicyForNonDerivativeFinancialAssetsLiabilitiesExplanatory,0001193125-24-075464,1,0,textBlock,D,,Description Of Accounting Policy For Non Derivative Financial Assets Liabilities Explanatory,The description of the entity's accounting policy for non derivative financial assets liabilities.
DescriptionOfAccountingPolicyForOtherPostRetirementBenefitsTextBlock,0001193125-24-075464,1,0,textBlock,D,,Description of accounting policy for other post retirement benefits,Description of accounting policy for other post retirement benefits.
DescriptionOfAccountingPolicyForShortTermEmployeeBenefitsTextBlock,0001193125-24-075464,1,0,textBlock,D,,Description of accounting policy for short term employee benefits [text block],Description of short term employee benefits policy.
Descriptionofaccountingpolicyforshortterminvestments,0001193125-24-075464,1,0,textBlock,D,,Description Of Accounting Policy For Short term Investments,The description of the entity's accounting policy used to determine short-termns investments.
DescriptionOfAccountingPolicyForTransactionsConsolidationEliminationExplanatory,0001193125-24-075464,1,0,textBlock,D,,Description Of Accounting Policy For Transactions Consolidation Elimination Explanatory,The description of the entity's accounting policy for transactions eliminated upon consolidation.
DescriptionOfExpectedForfeituresShareOptionsGranted,0001193125-24-075464,1,0,percent,D,,Description Of Expected Forfeitures Share Options Granted,The expected forfeitures of the share price used to calculate the fair value of the share options granted.
DescriptionOfExpectedForfeituresShareOptionsOustading,0001193125-24-075464,1,0,percent,I,,Description Of Expected Forfeitures Share Options oustanding,Description of expeted forfeitures share options oustanding.
DescriptionOfExpectedVestingShareOptionsGranted,0001193125-24-075464,1,0,percent,D,,Expected vesting,The amount of expected vesting used to calculate the fair value of share options.
DescriptionOfOptionLifeShareOptions,0001193125-24-075464,1,0,decimal,I,,Description Of Option Life Share Options,The option life of share options oustanding.
DescriptionOfPensionObligationsPolicyExplanatoryTextBlock,0001193125-24-075464,1,0,textBlock,D,,Description of Pension Obligations Policy Explanatory [Text Block],Description of accounting policy relaed to pension obligations.
DescriptionOfPoliciesForBuildingPlantAndEquipment,0001193125-24-075464,1,0,textBlock,D,,Description of policies for building plant and equipment,Descripton of accounting policy related to building plant and equipment.
DescriptionOfRefundableTaxAccountHeldByCanadaRevenueAgency,0001193125-24-075464,1,0,string,D,,Description of the refundable tax account held by CRA,The description of the refundable tax account held by Canada Revenue Agency.
DisclosureOfActuarialLossesGainsRecognizedInOciExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Actuarial Losses Gains Recognized In OCI Explanatory,The disclosure of acturial losses gains recognized in OCI.
DisclosureOfDefinedBenefitAndContributionPlansExplanatory,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Defined Benefit And Contribution Plans Explanatory,The entire disclosure for both defined benefit and defined contribution plans providing pension benefits.
DisclosureOfDetailedInformationAboutTradeAndOtherReceivablesExplanatoryTableTextBlcok,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Detailed Information Of Trade And Other Receivables Explanatory,Detailed information about trade and other receivables.
DisclosureOfEarningsAndIncomeTaxesByJurisdictionExpanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Earnings And Income Taxes By Jurisdiction Expanatory,The disclosure of earnings and income taxes by jurisdiction.
DisclosureOfEmployeeBenefitExpensesExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Employee Benefit Expenses Explanatory,"The disclsoure of details of employee benefit expenses including wages, statutory, pension plans and share based compensation."
DisclosureOfFinanceCostsDetailsExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Finance Costs Details Explanatory,The disclosure of finance costs breakdown.
DisclosureOfForeignExchangeRiskExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Foreign Exchange Risk Explanatory,Disclosure of pre-tax exposure to foreign currency exchange risk on financial instruments.
DisclosureOfGeneralBusinessDescriptionTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of General Business Description [Text Block],Disclosure Of General Business Description [Text Block]
DisclosureOfInventoriesSummaryExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Inventories Summary Explanatory,Disclosure of inventory schedule.
Disclosureofmiscellaneousnoncurrentassetsexplanatory,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Miscellaneous Noncurrent Assets Explanatory,The disclosure of miscellaneous non current assets excluding equity investments
Disclosureofnetdebtequityandtotalcapitalexplanatory,0001193125-24-075464,1,0,textBlock,D,,Disclosure of net debt equity and total capital explanatory,
DisclosureOfNonHedgeDerivativeGainsLossesTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Non Hedge Derivative Gains Losses,Disclosure of summary of components of non-hedge derivative gains losses.
DisclosureOfPercentagesOfTotalFairValueOfAssetsPensionPlanExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Percentages Of Total Fair Value Of Assets Pension Plan Explanatory,The disclosure of percentages of the total fair value of assets in the pension plans for each asset category .
DisclosureOfReclamationProvisionTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Reclamation Provision,The disclosure of rreclamation provisions.
DisclosureOfReconciliationOfChangeInProvisionsTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Reconciliation Of Change In Provisions,The disclosure of reconciliation of change in provisions.
DisclosureOfTaxRateReconciliationExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Tax Rate Reconciliation Explanatory,The disclosure of tax rate reconciliation between the provision and the amount computed by applying the combined fededral and provincial income tax rates plus other differences. .
DisclosureOfTradePayableAndAcccruedLiabilitiesExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Trade Payable And Acccrued Liabilities Explanatory,The disclosure of payable and accrued liabilities.
DisclsoureOfAlternativeBasisMeasurementOfConsolidatedFinancialStatementTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclsoure of alternative basis measurement of consolidated financial statement table text block,Disclsoure of alternative basis measurement of consolidated financial statement.
DisclsoureOfCompensationExpenseUnderEquitySettledPlansExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclsoure Of Compensation Expense Under Equity Settled Plans Explanatory,The disclosure of compensation expense under equity-settled plans.
DisclsoureOfComponentsOfNetPensionAndOtherBenefitExpensesExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclsoure Of Components Of Net Pension And Other Benefit Expenses Explanatory.,The disclosure of components of net pension and other benefit expenses.
DisclsoureOfDetailedInformationAboutOtherIncomeExpenseExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclsoure Of Detailed Information About Other Income Expense Explanatory,The disclsoure of other income or expense details.
DisclsoureOfDetailedInformationAboutOtherLiabiltiesTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclosure Of Other Liabilities Explanatory with detailed information,Disclosure of detailed information about other liabilities.
DisclsoureOfOtherIncomeExpenseTextBlock,0001193125-24-075464,1,0,textBlock,D,,Disclsoure Of Other Income Expense,The disclsoure of other income or expense.
DislcosureSharebasedCompensationExpensesRecoveriesCashSettledPlansExplanatoryTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Dislcosure Share-based Compensation Expenses Recoveries Cash Settled Plans Explanatory,The dislcosure share based compensation expenses (recoveries) cash settled plans explanatory
Disposalstorightofuseassets,0001193125-24-075464,1,0,monetary,D,C,Disposals to right of use assets,The amount of disposals to right-of-use assets.
DividendsPayableMember,0001193125-24-075464,1,1,member,,,Dividends Payable [Member],This member stands for dividends payable.
EmployeeShareOwnershipPlanMember,0001193125-24-075464,1,1,member,,,Employee Share Ownership Plan [member],Employee share ownership plan.
EmployersContributionPerEmployeeShareBasedPaymentArrangement,0001193125-24-075464,1,0,string,D,,Employers Contribution Per Employee Share Based Payment Arrangement,Employer contribution per employee for a type of share-based payment arrangement that existed at any time during the period.
EquityMethodInvestmentSummarizedFinancialInformationBalanceSheetExplanatory,0001193125-24-075464,1,0,textBlock,D,,Equity method investment summarized financial information balance sheet explanatory,
EquityMethodInvestmentSummarizedFinancialInformationIncomeStatementExplanatory,0001193125-24-075464,1,0,textBlock,D,,Equity method investment summarized financial information income statement explanatory,
EquitySettledPlanMember,0001193125-24-075464,1,1,member,,,Equity-settled plan [Member],This member represents equity settled plan.
ExpectedDividendShareOptionsReportingDate,0001193125-24-075464,1,0,monetary,I,,"Expected dividend, share options, reporting date",The amount of an expected dividend used to calculate the fair value of share options.
Expectedvestingshareoptions,0001193125-24-075464,1,0,percent,I,,"Expected vesting, share options, reporting date",The expected vesting used to calculate the fair value of the share options on the reporting date.
ExpectedVolatilityShareOptions,0001193125-24-075464,1,0,percent,I,,"Expected volatility, share options",The expected volatility of the share price used to calculate the fair value of the share options on the reporting date.
ExpirationPeriodForSharebasedPaymentArrangement,0001193125-24-075464,1,0,duration,D,,Expiration Period For Sharebased Payment Arrangement,Expiration Period For Sharebased Payment Arrangement
FairValueOfNonhedgeDerivatives,0001193125-24-075464,1,0,monetary,D,D,Fair Value Of Nonhedge Derivatives,Fair value of non hedge derivatives.
FeesRelatedToCreditFacilities,0001193125-24-075464,1,0,monetary,D,D,Interest Expense On Other Financial Liabilities,The amount of fees on the revolving credit facility and lines of credit.
ForeignCurrencyContractsMember,0001193125-24-075464,1,1,member,,,Foreign currency contracts [Member],This member stands for foreign currency contracts.
ForeignExchagneGainLossOnFinancialInstruments,0001193125-24-075464,1,0,monetary,D,C,Foreign Exchange Gain Loss On Financial Instruments,
FuelServiceMember,0001193125-24-075464,1,1,member,,,Fuel Service [Member],Fuel Service operating segment.
FuelServicesMember,0001193125-24-075464,1,1,member,,,Fuel Services [Member],Fuel service segement.
GainLossOnLongTermDebt,0001193125-24-075464,1,0,monetary,D,C,Gain (Loss) on Long Term Debt,Long Term Debt Gain Loss On Financial Instruments
GainLossRelatedActuarialChangesFromAssumptionsAndAdjustments,0001193125-24-075464,1,0,monetary,D,D,Gain Loss Related Actuarial Changes From Assumptions And Adjustments,"Actuarial losses and (gains) from changes in demographic, financial assumptions and experience adjustments related to net defined benefit liability or assets."
GlobalEquitySecuritiesMember,0001193125-24-075464,1,1,member,,,Global Equity Securities [member],This member stands for Global equity securities.
GlobalLaserEnrichmentLlcMember,0001193125-24-075464,1,1,member,,,Global Laser Enrichment LLC [Member],
GrossLettersOfCreditCommittments,0001193125-24-075464,1,0,monetary,I,C,Gross Letters Of Credit Commitments,Gross amount of letters of credit commitments.
GrossUnsecuredRevolvingCreditFacilityAvailable,0001193125-24-075464,1,0,monetary,I,C,Gross Unsecured Revolving Credit Facility Available,Gross amount of unsecured credit loan facility available.
IdemitsuMember,0001193125-24-075464,1,1,member,,,Idemitsu [Member],
Incomeinequityaccountedinvesteetaxeffectsforreconciliationbetweenaccountingprofitandtaxexpenseincome,0001193125-24-075464,1,0,monetary,D,D,IncomeInEquityAccountedInvesteeTaxEffectsForReconciliationBetweenAccountingProfitAndTaxExpenseIncome,The amount representing the difference between the tax expense (income) and the product of the accounting profit multiplied by the applicable tax rate(s) that relates to income in equity-accounted investee.
IncreaseDecreaseDueToChangeInReclamationProvisionPropertyPlantAndEquipment,0001193125-24-075464,1,0,monetary,D,D,Increase Decrease Due To Change In Reclamation Provision Property Plant And Equipment,"The increase (decrease) in property, plant and equipment resulting from change in reclamation provision."
Increasedecreaseintaxeffectchangeinuncertaintaxpositions,0001193125-24-075464,1,0,monetary,D,D,Increase Decrease In Tax Effect Change In Uncertain Tax Positions,The amount representing the difference between the tax expense (income) and the product of the accounting profit multiplied by the applicable tax rate(s) that relates to changes in uncertain tax positions.
IncreaseDecreaseInTaxesAbstract,0001193125-24-075464,1,1,,,,Increase Decrease In Taxes Abstract,
Increasedecreasethroughnetexchangedifferencescontractliabilities,0001193125-24-075464,1,0,monetary,D,C,Increase Decrease Through Net Exchange Differences Contract Liabilities,
IncreaseDecreaseThroughSharebasedPaymentRestrictedAndPerformanceShares,0001193125-24-075464,1,0,monetary,D,C,Increase Decrease Through Share-based Payment Restricted And Performance Shares,The increase (decrease) in equity resulting from share-based payment restricted and performance share units.
Increasedecreasethroughtransfersrightofuseassets,0001193125-24-075464,1,0,monetary,D,D,IncreaseDecreaseThroughTransfersRightofuseAssets,Tranfer of Right of Use Assets to Property Plant and Equipment
InkaiMember,0001193125-24-075464,1,1,member,,,Inkai [Member],"Inkai, joint operation."
IntellectualPropertyMember,0001193125-24-075464,1,1,member,,,Intellectual Property [member],This member stands for intellectual property.
InterestPayableMember,0001193125-24-075464,1,1,member,,,Interest payable [Member],This member stands for interest payable.
InvestementTaxCreditReceivableRelatedToResearchAndDevelopment,0001193125-24-075464,1,0,monetary,I,D,Investement Tax Credit Receivable Related To Research And Development,Investment tax credit receivable related to research and development.
InvestmentGradeRatingMember,0001193125-24-075464,1,1,member,,,Investment grade rating [Member],Investment grade rating
JointOperationsProportionateInterestInNetAssetsTableTextBlock,0001193125-24-075464,1,0,textBlock,D,,Joint operations proportionate interest in net assets,Disclosure of joint operations related to proportionate interest in net assets.
JointVentureInkaiLlpMember,0001193125-24-075464,1,1,member,,,Joint Venture Inkai LLP [Member],
JvInkaiAssociateMember,0001193125-24-075464,1,1,member,,,JV Inkai Associate [Member],
KeyLakeMember,0001193125-24-075464,1,1,member,,,Key Lake [Member],"Key Lake, joint operation."
LaterThanOneDayAndNotLaterThanThirtyDaysMember,0001193125-24-075464,1,1,member,,,Later than one day and not later than thirty days [Member],All items past due for one to thirty days
LaterThanOneMonthMember,0001193125-24-075464,1,1,member,,,Later than one month [Member],All items past due for greater than month
LetterOfCreditFacilitiesMember,0001193125-24-075464,1,1,member,,,Letter of credit facilities [Member],"This member stands for, Letter of credit facilities."
LettersOfCreditOustanding,0001193125-24-075464,1,0,monetary,I,C,Letters of credit outstanding,Letters of credit amount outstanding at a given period.
LoanReceivablesQuantity,0001193125-24-075464,1,0,mass,I,,Loan Receivables Quantity,The quantity of receivable from another party.
LongtermBorrowingsNetOfCashAndCashEquivalent,0001193125-24-075464,1,0,monetary,I,C,Longterm Borrowings Net Of Cash And Cash Equivalent,The amount of long term borrowings less total cash. [Custom]
LongtermDebtMember,0001193125-24-075464,1,1,member,,,Long-Term Debt [Member],This member stands for long term debt.
LongTermReceivablesInvestmentsAndOther,0001193125-24-075464,1,0,monetary,I,D,"Long-term receivables, investments and other","The amount of noncurrent receivables, investments and other."
LongTermReceivablesInvestmentsAndOtherMember,0001193125-24-075464,1,1,member,,,"Long-term receivables, investments and other [Member]","This member stands for Long-term receivables, investments and other classification on financial position."
MajorCustomerOfCamecoAllSegmentsMember,0001193125-24-075464,1,1,member,,,Major Customer Of Cameco All Segments [Member],Major customer of Cameco for all segments.
MarketpricecontractsmemberMember,0001193125-24-075464,1,1,member,,,Market Price Contracts Member [Member],This member stands for market-price contracts with customers
MaximumAmountOfLettersOfCreditAvailableUnderCreditFacility,0001193125-24-075464,1,0,monetary,I,C,Maximum Amount Of Letters Of Credit Available Under Credit Facility,Maximum amount of letters of credit available under the credit facility.
MaximumBorrowingCapacity,0001193125-24-075464,1,0,monetary,I,C,Maximum borrowing capacity,The maximum amount of borrowings that can be drawn from the facilities.
MaximumQuantityOfRawMaterials,0001193125-24-075464,1,0,mass,I,,Maximum quantity of raw materials,Maximum quantity of raw materials
MaximumUnsecuredRevolvingCreditFacilityAvailable,0001193125-24-075464,1,0,monetary,I,C,Maximum Unsecured Revolving Credit Facility Available,Maximum amount of revolving credit facility available under the commitment.
McarthurRiverMember,0001193125-24-075464,1,1,member,,,McArthur River [Member],"McArthur River, joint operation"
MinimumIncrementAmountOfCreditFacility,0001193125-24-075464,1,0,monetary,I,C,Minimum Increment Amount Of Credit Facility,Minimum amount of increment that is allowed under the credit facility.
MiscellaneousOtherIncomeExpense,0001193125-24-075464,1,0,monetary,D,C,Miscellaneous Other Income Expense,The amount of operating income that the entity does not separately disclose in the same statement or note.
NetDebtAndEquity,0001193125-24-075464,1,0,monetary,I,C,Net Debt And Equity,Addition of long term debt net of cash and equity.
NetFinancialAssetsLiabilies,0001193125-24-075464,1,0,monetary,I,D,Net Financial Assets Liabilies,
NetFinancialInstruments,0001193125-24-075464,1,0,monetary,I,C,Net financial instruments,Financial instruments contracts net of non current borrowings.
NetForeignCurrencyDerivativesMember,0001193125-24-075464,1,1,member,,,Net Foreign Currency Derivatives [Member],"This member stands for, Net foreign currency derivatives."
Nettradereceivables,0001193125-24-075464,1,0,monetary,I,D,Net trade receivables,
NonCashChangesArisingFromFinancingActivities,0001193125-24-075464,1,0,monetary,D,D,Non-cash changes arising from financing activities,The amount of total non-cash changes arising from financing activities.
NonCashChangesFinancingActivitiesAbstract,0001193125-24-075464,1,1,,,,Non-cash changes financing activities [abstract],
NoncurrentLoansAndReceivablesMaturity,0001193125-24-075464,1,0,string,D,,Non current loans and receivables maturity,The maturity of loans and receivables.
NonInvestmentGradeRatingMember,0001193125-24-075464,1,1,member,,,Non-investment grade rating [Member],Non-investment grade rating
NumberAndWeightedAverageExercisePricesOfShareOptionsAbstract,0001193125-24-075464,1,1,,,,Number And Weighted Average Exercise Prices Of Share Options [Abstract],
NumberOfOperatingMines,0001193125-24-075464,1,0,integer,D,,Number Of Operating Mines,Number Of Operating Mines
NumberOfReportableSegments,0001193125-24-075464,1,0,integer,D,,Number Of Reportable Segments,Number Of Reportable Segments
OpeningShareOfNetAssetsOfInvestmentAccountedForUsingEquityMethodBeforeRestructuring,0001193125-24-075464,1,0,monetary,I,D,Opening share of net assets of investment accounted for using equity method before restructuring,Opening share of net assets of investments accounted for using equity method upon cessation of consolidation.
OranoCanadaIncMember,0001193125-24-075464,1,1,member,,,Orano Canada Inc [member],Orano Canada Inc.
