adsh,report,rfile,menucat,shortname,longname,roleuri,parentroleuri,parentreport,ultparentrpt
0001193125-24-075464,23,H,N,Provisions,011601 - Disclosure - Provisions,http://www.cameco.com/role/Provisions,,,23.0
0001193125-24-075464,24,H,N,Share capital,011701 - Disclosure - Share capital,http://www.cameco.com/role/ShareCapital,,,24.0
0001193125-24-075464,25,H,N,Revenue,011801 - Disclosure - Revenue,http://www.cameco.com/role/Revenue,,,25.0
0001193125-24-075464,26,H,N,Employee benefit expense,011901 - Disclosure - Employee benefit expense,http://www.cameco.com/role/EmployeeBenefitExpense,,,26.0
0001193125-24-075464,27,H,N,Finance costs,012001 - Disclosure - Finance costs,http://www.cameco.com/role/FinanceCosts,,,27.0
0001193125-24-075464,28,H,N,Other income (expense),012101 - Disclosure - Other income (expense),http://www.cameco.com/role/OtherIncomeexpense,,,28.0
0001193125-24-075464,29,H,N,Income taxes,012201 - Disclosure - Income taxes,http://www.cameco.com/role/IncomeTaxes,,,29.0
0001193125-24-075464,30,H,N,Per share amounts,012301 - Disclosure - Per share amounts,http://www.cameco.com/role/PerShareAmounts,,,30.0
0001193125-24-075464,31,H,N,Supplemental cash flow information,012401 - Disclosure - Supplemental cash flow information,http://www.cameco.com/role/SupplementalCashFlowInformation,,,31.0
0001193125-24-075464,32,H,N,Share-based compensation plans,012501 - Disclosure - Share-based compensation plans,http://www.cameco.com/role/SharebasedCompensationPlans,,,32.0
0001193125-24-075464,33,H,N,Pension and other post-retirement benefits,012601 - Disclosure - Pension and other post-retirement benefits,http://www.cameco.com/role/PensionAndOtherPostretirementBenefits,,,33.0
0001193125-24-075464,34,H,N,Financial instruments and related risk management,012701 - Disclosure - Financial instruments and related risk management,http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagement,,,34.0
0001193125-24-075464,35,H,N,Capital management,012801 - Disclosure - Capital management,http://www.cameco.com/role/CapitalManagement,,,35.0
0001193125-24-075464,36,H,N,Segmented information,012901 - Disclosure - Segmented information,http://www.cameco.com/role/SegmentedInformation,,,36.0
0001193125-24-075464,37,H,N,Group entities,013001 - Disclosure - Group entities,http://www.cameco.com/role/GroupEntities,,,37.0
0001193125-24-075464,38,H,N,Joint operations,013101 - Disclosure - Joint operations,http://www.cameco.com/role/JointOperations,,,38.0
0001193125-24-075464,39,H,N,Related parties,013201 - Disclosure - Related parties,http://www.cameco.com/role/RelatedParties,,,39.0
0001193125-24-075464,40,H,N,Subsequent event,013601 - Disclosure - Subsequent event,http://www.cameco.com/role/SubsequentEvent,,,40.0
0001193125-24-075464,41,H,P,Material accounting policies (Policies),020202 - Disclosure - Material accounting policies (Policies),http://www.cameco.com/role/MaterialAccountingPoliciesPolicies,http://www.cameco.com/role/AccountingStandards,10.0,10.0
0001193125-24-075464,42,H,T,Material accounting policies (Table),030201 - Disclosure - Material accounting policies (Table),http://www.cameco.com/role/MaterialAccountingPoliciesTable,http://www.cameco.com/role/MaterialAccountingPolicies,9.0,9.0
0001193125-24-075464,43,H,T,Acquisitions (Table),030601 - Disclosure - Acquisitions (Table),http://www.cameco.com/role/AcquisitionsTable,http://www.cameco.com/role/Acquisitions,13.0,13.0
0001193125-24-075464,44,H,T,Accounts receivable (Tables),030701 - Disclosure - Accounts receivable (Tables),http://www.cameco.com/role/AccountsReceivableTables,http://www.cameco.com/role/AccountsReceivable,14.0,14.0
0001193125-24-075464,45,H,T,Inventories (Tables),030801 - Disclosure - Inventories (Tables),http://www.cameco.com/role/InventoriesTables,http://www.cameco.com/role/Inventories,15.0,15.0
0001193125-24-075464,46,H,T,"Property, plant and equipment (Tables)","030901 - Disclosure - Property, plant and equipment (Tables)",http://www.cameco.com/role/PropertyPlantAndEquipmentTables,http://www.cameco.com/role/PropertyPlantAndEquipment,16.0,16.0
0001193125-24-075464,47,H,T,Intangible assets (Tables),031001 - Disclosure - Intangible assets (Tables),http://www.cameco.com/role/IntangibleAssetsTables,http://www.cameco.com/role/IntangibleAssets,17.0,17.0
0001193125-24-075464,48,H,T,"Long-term receivables, investments and other (Tables)","031101 - Disclosure - Long-term receivables, investments and other (Tables)",http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherTables,http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOther,18.0,18.0
0001193125-24-075464,49,H,T,Equity-accounted investees (Tables),031201 - Disclosure - Equity-accounted investees (Tables),http://www.cameco.com/role/EquityaccountedInvesteesTables,http://www.cameco.com/role/EquityaccountedInvestees,19.0,19.0
0001193125-24-075464,50,H,T,Accounts payable and accrued liabilities (Tables),031301 - Disclosure - Accounts payable and accrued liabilities (Tables),http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesTables,http://www.cameco.com/role/AccountsPayableAndAccruedLiabilities,20.0,20.0
0001193125-24-075464,51,H,T,Long-term debt (Tables),031401 - Disclosure - Long-term debt (Tables),http://www.cameco.com/role/LongtermDebtTables,http://www.cameco.com/role/LongtermDebt,21.0,21.0
0001193125-24-075464,52,H,T,Other liabilities (Tables),031501 - Disclosure - Other liabilities (Tables),http://www.cameco.com/role/OtherLiabilitiesTables,http://www.cameco.com/role/OtherLiabilities,22.0,22.0
0001193125-24-075464,53,H,T,Provisions (Tables),031601 - Disclosure - Provisions (Tables),http://www.cameco.com/role/ProvisionsTables,http://www.cameco.com/role/Provisions,23.0,23.0
0001193125-24-075464,54,H,T,Share capital (Tables),031701 - Disclosure - Share capital (Tables),http://www.cameco.com/role/ShareCapitalTables,http://www.cameco.com/role/ShareCapital,24.0,24.0
0001193125-24-075464,55,H,T,Revenue (Tables),031801 - Disclosure - Revenue (Tables),http://www.cameco.com/role/RevenueTables,http://www.cameco.com/role/Revenue,25.0,25.0
0001193125-24-075464,56,H,T,Employee benefit expense (Tables),031901 - Disclosure - Employee benefit expense (Tables),http://www.cameco.com/role/EmployeeBenefitExpenseTables,http://www.cameco.com/role/EmployeeBenefitExpense,26.0,26.0
0001193125-24-075464,57,H,T,Finance costs (Tables),032001 - Disclosure - Finance costs (Tables),http://www.cameco.com/role/FinanceCostsTables,http://www.cameco.com/role/FinanceCosts,27.0,27.0
0001193125-24-075464,58,H,T,Other income (expense) (Tables),032101 - Disclosure - Other income (expense) (Tables),http://www.cameco.com/role/OtherIncomeexpenseTables,http://www.cameco.com/role/OtherIncomeexpense,28.0,28.0
0001193125-24-075464,59,H,T,Income taxes (Tables),032201 - Disclosure - Income taxes (Tables),http://www.cameco.com/role/IncomeTaxesTables,http://www.cameco.com/role/IncomeTaxes,29.0,29.0
0001193125-24-075464,60,H,T,Per share amounts (Tables),032301 - Disclosure - Per share amounts (Tables),http://www.cameco.com/role/PerShareAmountsTables,http://www.cameco.com/role/PerShareAmounts,30.0,30.0
0001193125-24-075464,61,H,T,Supplemental cash flow information (Tables),032401 - Disclosure - Supplemental cash flow information (Tables),http://www.cameco.com/role/SupplementalCashFlowInformationTables,http://www.cameco.com/role/SupplementalCashFlowInformation,31.0,31.0
0001193125-24-075464,62,H,T,Share-based compensation plans (Tables),032501 - Disclosure - Share-based compensation plans (Tables),http://www.cameco.com/role/SharebasedCompensationPlansTables,http://www.cameco.com/role/SharebasedCompensationPlans,32.0,32.0
0001193125-24-075464,63,H,T,Pension and other post-retirement benefits (Tables),032601 - Disclosure - Pension and other post-retirement benefits (Tables),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,http://www.cameco.com/role/PensionAndOtherPostretirementBenefits,33.0,33.0
0001193125-24-075464,64,H,T,Financial instruments and related risk management (Tables),032701 - Disclosure - Financial instruments and related risk management (Tables),http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagementTables,http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagement,34.0,34.0
0001193125-24-075464,65,H,T,Capital management (Tables),032801 - Disclosure - Capital management (Tables),http://www.cameco.com/role/CapitalManagementTables,http://www.cameco.com/role/CapitalManagement,35.0,35.0
0001193125-24-075464,66,H,T,Segmented information (Tables),032901 - Disclosure - Segmented information (Tables),http://www.cameco.com/role/SegmentedInformationTables,http://www.cameco.com/role/SegmentedInformation,36.0,36.0
0001193125-24-075464,67,H,T,Group entities (Tables),033001 - Disclosure - Group entities (Tables),http://www.cameco.com/role/GroupEntitiesTables,http://www.cameco.com/role/GroupEntities,37.0,37.0
0001193125-24-075464,68,H,T,Joint operations (Tables),033101 - Disclosure - Joint operations (Tables),http://www.cameco.com/role/JointOperationsTables,http://www.cameco.com/role/JointOperations,38.0,38.0
0001193125-24-075464,69,H,T,Related parties (Tables),033201 - Disclosure - Related parties (Tables),http://www.cameco.com/role/RelatedPartiesTables,http://www.cameco.com/role/RelatedParties,39.0,39.0
0001193125-24-075464,70,H,D,Cameco Corporation (Details),040101 - Disclosure - Cameco Corporation (Details),http://www.cameco.com/role/CamecoCorporationDetails,http://www.cameco.com/role/CamecoCorporation,8.0,8.0
0001193125-24-075464,71,H,D,Material accounting policies (Details),040201 - Disclosure - Material accounting policies (Details),http://www.cameco.com/role/MaterialAccountingPoliciesDetails,http://www.cameco.com/role/MaterialAccountingPoliciesTable,42.0,9.0
0001193125-24-075464,72,H,D,Determination of fair values (Details),040401 - Disclosure - Determination of fair values (Details),http://www.cameco.com/role/DeterminationOfFairValuesDetails,http://www.cameco.com/role/DeterminationOfFairValues,11.0,11.0
0001193125-24-075464,73,H,D,Acquisitions (Disclosure Of Detailed Information About Business Combinations,040600 - Disclosure - Acquisitions (Disclosure Of Detailed Information About Business Combinations - Westinghouse) (Details),http://www.cameco.com/role/AcquisitionsDisclosureOfDetailedInformationAboutBusinessCombinationsWestinghouseDetails,http://www.cameco.com/role/AcquisitionsTable,43.0,13.0
0001193125-24-075464,74,H,D,Acquisitions (Disclosure Of Detailed Information About Business Combinations,040601 - Disclosure - Acquisitions (Disclosure Of Detailed Information About Business Combinations - Cigar Lake) (Details),http://www.cameco.com/role/AcquisitionsDisclosureOfDetailedInformationAboutBusinessCombinationsCigarLakeDetails,http://www.cameco.com/role/AcquisitionsTable,43.0,13.0
0001193125-24-075464,75,H,D,Accounts Receivable (Schedule of accounts receivable) (Details),040701 - Disclosure - Accounts Receivable (Schedule of accounts receivable) (Details),http://www.cameco.com/role/AccountsReceivableScheduleOfAccountsReceivableDetails,,,
0001193125-24-075464,76,H,D,Inventories (Schedule of Inventories) (Details),040801 - Disclosure - Inventories (Schedule of Inventories) (Details),http://www.cameco.com/role/InventoriesScheduleOfInventoriesDetails,http://www.cameco.com/role/InventoriesTables,45.0,15.0
0001193125-24-075464,77,H,D,"Property, plant and equipment (Schedule of Property plant and equipment table) (Details)","040901 - Disclosure - Property, plant and equipment (Schedule of Property plant and equipment table) (Details)",http://www.cameco.com/role/PropertyPlantAndEquipmentScheduleOfPropertyPlantAndEquipmentTableDetails,http://www.cameco.com/role/PropertyPlantAndEquipmentTables,46.0,16.0
0001193125-24-075464,78,H,D,"Property, plant and equipment (Narrative) (Details)","040902 - Disclosure - Property, plant and equipment (Narrative) (Details)",http://www.cameco.com/role/PropertyPlantAndEquipmentNarrativeDetails,http://www.cameco.com/role/PropertyPlantAndEquipmentTables,46.0,16.0
0001193125-24-075464,79,H,D,Intangible assets (Reconciliation of carrying amount of intangible assets) (Details),041001 - Disclosure - Intangible assets (Reconciliation of carrying amount of intangible assets) (Details),http://www.cameco.com/role/IntangibleAssetsReconciliationOfCarryingAmountOfIntangibleAssetsDetails,http://www.cameco.com/role/IntangibleAssetsTables,47.0,17.0
0001193125-24-075464,80,H,D,"Long-term receivables, investments and other (Long-term receivables, investments and other) (Details)","041101 - Disclosure - Long-term receivables, investments and other (Long-term receivables, investments and other) (Details)",http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherLongtermReceivablesInvestmentsAndOtherDetails,http://www.cameco.com/role/LongtermReceivablesInvestmentsAndOtherTables,48.0,18.0
0001193125-24-075464,81,H,D,Equity-accounted investees (Narrative) (Details),041201 - Disclosure - Equity-accounted investees (Narrative) (Details),http://www.cameco.com/role/EquityaccountedInvesteesNarrativeDetails,http://www.cameco.com/role/EquityaccountedInvesteesTables,49.0,19.0
0001193125-24-075464,82,H,D,Equity-accounted investees (Summary of Equity-accounted Investees) (Details),041202 - Disclosure - Equity-accounted investees (Summary of Equity-accounted Investees) (Details),http://www.cameco.com/role/EquityaccountedInvesteesSummaryOfEquityaccountedInvesteesDetails,http://www.cameco.com/role/EquityaccountedInvesteesTables,49.0,19.0
0001193125-24-075464,83,H,D,Equity-accounted investees (Associate financial position) (Details),041203 - Disclosure - Equity-accounted investees (Associate financial position) (Details),http://www.cameco.com/role/EquityaccountedInvesteesAssociateFinancialPositionDetails,http://www.cameco.com/role/EquityaccountedInvesteesTables,49.0,19.0
0001193125-24-075464,84,H,D,Equity-accounted investees (Associate statement of earnings) (Details),041204 - Disclosure - Equity-accounted investees (Associate statement of earnings) (Details),http://www.cameco.com/role/EquityaccountedInvesteesAssociateStatementOfEarningsDetails,http://www.cameco.com/role/EquityaccountedInvesteesTables,49.0,19.0
0001193125-24-075464,85,H,D,Accounts payable and accrued liabilities (Accounts payable and accrued liabilities) (Details),041301 - Disclosure - Accounts payable and accrued liabilities (Accounts payable and accrued liabilities) (Details),http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesAccountsPayableAndAccruedLiabilitiesDetails,http://www.cameco.com/role/AccountsPayableAndAccruedLiabilitiesTables,50.0,20.0
0001193125-24-075464,86,H,D,Long term debt (Narrative) (Details),041400 - Disclosure - Long term debt (Narrative) (Details),http://www.cameco.com/role/LongTermDebtNarrativeDetails,,,
0001193125-24-075464,87,H,D,Long term debt (Long-term debt) (Details),041401 - Disclosure - Long term debt (Long-term debt) (Details),http://www.cameco.com/role/LongTermDebtLongtermDebtDetails,,,
0001193125-24-075464,88,H,D,Other liabilities (Narrative) (Details),041500 - Disclosure - Other liabilities (Narrative) (Details),http://www.cameco.com/role/OtherLiabilitiesNarrativeDetails,http://www.cameco.com/role/OtherLiabilitiesTables,52.0,22.0
0001193125-24-075464,89,H,D,Other liabilities (Disclosure Of Other Liabilities Explanatory) (Details),041501 - Disclosure - Other liabilities (Disclosure Of Other Liabilities Explanatory) (Details),http://www.cameco.com/role/OtherLiabilitiesDisclosureOfOtherLiabilitiesExplanatoryDetails,http://www.cameco.com/role/OtherLiabilitiesTables,52.0,22.0
0001193125-24-075464,90,H,D,Other liabilities (Standby product loan facilities with various counterparties) (Details),041502 - Disclosure - Other liabilities (Standby product loan facilities with various counterparties) (Details),http://www.cameco.com/role/OtherLiabilitiesStandbyProductLoanFacilitiesWithVariousCounterpartiesDetails,http://www.cameco.com/role/OtherLiabilitiesTables,52.0,22.0
0001193125-24-075464,91,H,D,Provisions (Details),041601 - Disclosure - Provisions (Details),http://www.cameco.com/role/ProvisionsDetails,http://www.cameco.com/role/ProvisionsTables,53.0,23.0
0001193125-24-075464,92,H,D,Share capital (Details),041701 - Disclosure - Share capital (Details),http://www.cameco.com/role/ShareCapitalDetails,http://www.cameco.com/role/ShareCapitalTables,54.0,24.0
0001193125-24-075464,93,H,D,Revenue (Narrative) (Details),041800 - Disclosure - Revenue (Narrative) (Details),http://www.cameco.com/role/RevenueNarrativeDetails,http://www.cameco.com/role/RevenueTables,55.0,25.0
0001193125-24-075464,94,H,D,Revenue (Disaggregation) (Details),041801 - Disclosure - Revenue (Disaggregation) (Details),http://www.cameco.com/role/RevenueDisaggregationDetails,http://www.cameco.com/role/RevenueTables,55.0,25.0
0001193125-24-075464,95,H,D,Revenue (Contract liabilities) (Details),041802 - Disclosure - Revenue (Contract liabilities) (Details),http://www.cameco.com/role/RevenueContractLiabilitiesDetails,http://www.cameco.com/role/RevenueTables,55.0,25.0
0001193125-24-075464,96,H,D,Revenue (Future sales commitments) (Details),041803 - Disclosure - Revenue (Future sales commitments) (Details),http://www.cameco.com/role/RevenueFutureSalesCommitmentsDetails,http://www.cameco.com/role/RevenueTables,55.0,25.0
0001193125-24-075464,97,H,D,Employee benefit expense (Employee benefit expenses) (Details),041901 - Disclosure - Employee benefit expense (Employee benefit expenses) (Details),http://www.cameco.com/role/EmployeeBenefitExpenseEmployeeBenefitExpensesDetails,http://www.cameco.com/role/EmployeeBenefitExpenseTables,56.0,26.0
0001193125-24-075464,98,H,D,Finance cost (Narrative) (Details),042000 - Disclosure - Finance cost (Narrative) (Details),http://www.cameco.com/role/FinanceCostNarrativeDetails,http://www.cameco.com/role/FinanceCostsTables,57.0,27.0
0001193125-24-075464,99,H,D,Finance cost (Schedule of finance costs) (Details),042001 - Disclosure - Finance cost (Schedule of finance costs) (Details),http://www.cameco.com/role/FinanceCostScheduleOfFinanceCostsDetails,http://www.cameco.com/role/FinanceCostsTables,57.0,27.0
0001193125-24-075464,100,H,D,Other income (expense) (Other income (expense)) (Details),042101 - Disclosure - Other income (expense) (Other income (expense)) (Details),http://www.cameco.com/role/OtherIncomeexpenseOtherIncomeexpenseDetails,http://www.cameco.com/role/OtherIncomeexpenseTables,58.0,28.0
0001193125-24-075464,101,H,D,Income taxes (Narratives) (Details),042200 - Disclosure - Income taxes (Narratives) (Details),http://www.cameco.com/role/IncomeTaxesNarrativesDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,102,H,D,Income taxes (Significant components of deferred tax assets and liabilities) (Details),042201 - Disclosure - Income taxes (Significant components of deferred tax assets and liabilities) (Details),http://www.cameco.com/role/IncomeTaxesSignificantComponentsOfDeferredTaxAssetsAndLiabilitiesDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,103,H,D,Income taxes (Movement in net deferred tax assets and liabilities) (Details),042202 - Disclosure - Income taxes (Movement in net deferred tax assets and liabilities) (Details),http://www.cameco.com/role/IncomeTaxesMovementInNetDeferredTaxAssetsAndLiabilitiesDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,104,H,D,Income taxes (Significant components of unrecognized deferred tax assets) (Details),042203 - Disclosure - Income taxes (Significant components of unrecognized deferred tax assets) (Details),http://www.cameco.com/role/IncomeTaxesSignificantComponentsOfUnrecognizedDeferredTaxAssetsDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,105,H,D,Income taxes (Tax rate reconciliation) (Details),042204 - Disclosure - Income taxes (Tax rate reconciliation) (Details),http://www.cameco.com/role/IncomeTaxesTaxRateReconciliationDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,106,H,D,Income taxes (Earnings and income taxes by jurisdiction) (Details),042205 - Disclosure - Income taxes (Earnings and income taxes by jurisdiction) (Details),http://www.cameco.com/role/IncomeTaxesEarningsAndIncomeTaxesByJurisdictionDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,107,H,D,Income taxes (Income tax losses carried forward) (Details),042206 - Disclosure - Income taxes (Income tax losses carried forward) (Details),http://www.cameco.com/role/IncomeTaxesIncomeTaxLossesCarriedForwardDetails,http://www.cameco.com/role/IncomeTaxesTables,59.0,29.0
0001193125-24-075464,108,H,D,Per share amounts (Narrative) (Details),042300 - Disclosure - Per share amounts (Narrative) (Details),http://www.cameco.com/role/PerShareAmountsNarrativeDetails,http://www.cameco.com/role/PerShareAmountsTables,60.0,30.0
0001193125-24-075464,109,H,D,Per share amounts (Schedule of Earnings Per Share computation per common share) (Details),042301 - Disclosure - Per share amounts (Schedule of Earnings Per Share computation per common share) (Details),http://www.cameco.com/role/PerShareAmountsScheduleOfEarningsPerShareComputationPerCommonShareDetails,http://www.cameco.com/role/PerShareAmountsTables,60.0,30.0
0001193125-24-075464,110,H,D,Supplemental cash flow information (Statements of detailed information of cash flow) (Details),042401 - Disclosure - Supplemental cash flow information (Statements of detailed information of cash flow) (Details),http://www.cameco.com/role/SupplementalCashFlowInformationStatementsOfDetailedInformationOfCashFlowDetails,http://www.cameco.com/role/SupplementalCashFlowInformationTables,61.0,31.0
0001193125-24-075464,111,H,D,Supplemental cash flow information (Reconciliation of liabilities arising from financing activities) (Details),042402 - Disclosure - Supplemental cash flow information (Reconciliation of liabilities arising from financing activities) (Details),http://www.cameco.com/role/SupplementalCashFlowInformationReconciliationOfLiabilitiesArisingFromFinancingActivitiesDetails,http://www.cameco.com/role/SupplementalCashFlowInformationTables,61.0,31.0
0001193125-24-075464,112,H,D,Share-based compensation plans (Narrative) (Details),042500 - Disclosure - Share-based compensation plans (Narrative) (Details),http://www.cameco.com/role/SharebasedCompensationPlansNarrativeDetails,http://www.cameco.com/role/SharebasedCompensationPlansTables,62.0,32.0
0001193125-24-075464,113,H,D,Share-based compensation plans (Share options number and weighted average price) (Details),042501 - Disclosure - Share-based compensation plans (Share options number and weighted average price) (Details),http://www.cameco.com/role/SharebasedCompensationPlansShareOptionsNumberAndWeightedAveragePriceDetails,http://www.cameco.com/role/SharebasedCompensationPlansTables,62.0,32.0
0001193125-24-075464,114,H,D,Share-based compensation plans (Equity-settled and cash-settled) (Details),042503 - Disclosure - Share-based compensation plans (Equity-settled and cash-settled) (Details),http://www.cameco.com/role/SharebasedCompensationPlansEquitysettledAndCashsettledDetails,http://www.cameco.com/role/SharebasedCompensationPlansTables,62.0,32.0
0001193125-24-075464,115,H,D,Share-based compensation plans (Inputs used in the measurement,042504 - Disclosure - Share-based compensation plans (Inputs used in the measurement - Equity) (Details),http://www.cameco.com/role/SharebasedCompensationPlansInputsUsedInTheMeasurementEquityDetails,http://www.cameco.com/role/SharebasedCompensationPlansTables,62.0,32.0
0001193125-24-075464,116,H,D,Share-based compensation plans (Inputs used in the measurement,042505 - Disclosure - Share-based compensation plans (Inputs used in the measurement - Cash) (Details),http://www.cameco.com/role/SharebasedCompensationPlansInputsUsedInTheMeasurementCashDetails,http://www.cameco.com/role/SharebasedCompensationPlansTables,62.0,32.0
0001193125-24-075464,117,H,D,Pension and other post-retirement benefits (Narrative) (Details),042600 - Disclosure - Pension and other post-retirement benefits (Narrative) (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsNarrativeDetails,http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,63.0,33.0
0001193125-24-075464,118,H,D,Pension and other post-retirement benefits (Defined benefit plans) (Details),042601 - Disclosure - Pension and other post-retirement benefits (Defined benefit plans) (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsDefinedBenefitPlansDetails,http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,63.0,33.0
0001193125-24-075464,119,H,D,Pension and other post-retirement benefits (Percentages of the total fair value of assets) (Details),042602 - Disclosure - Pension and other post-retirement benefits (Percentages of the total fair value of assets) (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsPercentagesOfTheTotalFairValueOfAssetsDetails,http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,63.0,33.0
0001193125-24-075464,120,H,D,Pension and other post-retirement benefits (Components of net pension and other benefit expense) (Details),042603 - Disclosure - Pension and other post-retirement benefits (Components of net pension and other benefit expense) (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsComponentsOfNetPensionAndOtherBenefitExpenseDetails,http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,63.0,33.0
0001193125-24-075464,121,H,D,Pension and other post-retirement benefits (Assumptions and 1% change) (Details),042604 - Disclosure - Pension and other post-retirement benefits (Assumptions and 1% change) (Details),http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsAssumptionsAnd1ChangeDetails,http://www.cameco.com/role/PensionAndOtherPostretirementBenefitsTables,63.0,33.0
0001193125-24-075464,122,H,D,Financial instruments (Narrative) (Details),042700 - Disclosure - Financial instruments (Narrative) (Details),http://www.cameco.com/role/FinancialInstrumentsNarrativeDetails,http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagementTables,64.0,34.0
0001193125-24-075464,123,H,D,Financial instruments (Related risk management) (Details),042701 - Disclosure - Financial instruments (Related risk management) (Details),http://www.cameco.com/role/FinancialInstrumentsRelatedRiskManagementDetails,http://www.cameco.com/role/FinancialInstrumentsAndRelatedRiskManagementTables,64.0,34.0
0001193125-24-075464,124,H,D,Financial Instruments (Exposure to credit risk receivables) (Details),042702 - Disclosure - Financial Instruments (Exposure to credit risk receivables) (Details),http://www.cameco.com/role/FinancialInstrumentsExposureToCreditRiskReceivablesDetails,,,
