adsh,grp,arc,negative,ptag,pversion,ctag,cversion
0001193125-24-036626,17,11,1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,AdjustmentsForProvisions,ifrs/2023
0001193125-24-036626,17,9,1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,AdjustmentsForSharebasedPayments,ifrs/2023
0001193125-24-036626,9,8,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-036626,9,9,1,CashFlowsFromUsedInOperations,ifrs/2023,AdjustmentsForUnrealisedForeignExchangeLossesGains,ifrs/2023
0001193125-24-036626,2,4,1,OtherExpenseByNature,ifrs/2023,BankAndSimilarCharges,ifrs/2023
0001193125-24-036626,1,1,1,InterestCostsIncurred,ifrs/2023,BorrowingCostsCapitalised,ifrs/2023
0001193125-24-036626,18,1,1,CashAndCashEquivalents,ifrs/2023,Cash,ifrs/2023
0001193125-24-036626,12,2,1,CurrentAssets,ifrs/2023,CashAndCashEquivalents,ifrs/2023
0001193125-24-036626,9,23,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,CashFlowsFromUsedInFinancingActivities,ifrs/2023
0001193125-24-036626,9,16,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,CashFlowsFromUsedInInvestingActivities,ifrs/2023
0001193125-24-036626,9,1,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,CashFlowsFromUsedInOperatingActivities,ifrs/2023
0001193125-24-036626,9,2,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,CashFlowsFromUsedInOperations,ifrs/2023
0001193125-24-036626,9,22,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-036626,23,2,1,ComprehensiveIncome,ifrs/2023,ComprehensiveIncomeAttributableToNoncontrollingInterests,ifrs/2023
0001193125-24-036626,23,1,1,ComprehensiveIncome,ifrs/2023,ComprehensiveIncomeAttributableToOwnersOfParent,ifrs/2023
0001193125-24-036626,3,5,-1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,CostOfSales,ifrs/2023
0001193125-24-036626,12,1,1,Assets,ifrs/2023,CurrentAssets,ifrs/2023
0001193125-24-036626,12,16,1,CurrentLiabilities,ifrs/2023,CurrentBorrowingsAndCurrentPortionOfNoncurrentBorrowings,ifrs/2023
0001193125-24-036626,12,14,1,Liabilities,ifrs/2023,CurrentLiabilities,ifrs/2023
0001193125-24-036626,14,1,1,OtherProvisions,ifrs/2023,CurrentProvisions,ifrs/2023
0001193125-24-036626,4,2,1,CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,ifrs/2023,CurrentTaxExpenseIncome,ifrs/2023
0001193125-24-036626,4,1,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,ifrs/2023
0001193125-24-036626,12,17,1,CurrentLiabilities,ifrs/2023,CurrentTaxLiabilitiesCurrent,ifrs/2023
0001193125-24-036626,12,11,1,Assets,ifrs/2023,DeferredTaxAssets,ifrs/2023
0001193125-24-036626,4,5,1,DeferredTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626,DeferredTaxExpenseIncomeRelatingToOriginationAndReversalOfTemporaryDifferences,ifrs/2023
0001193125-24-036626,12,21,1,Liabilities,ifrs/2023,DeferredTaxLiabilities,ifrs/2023
0001193125-24-036626,7,3,-1,ProfitLossBeforeTax,ifrs/2023,DepreciationExpense,ifrs/2023
0001193125-24-036626,10,2,1,CostOfSales,ifrs/2023,DepreciationExpense,ifrs/2023
0001193125-24-036626,20,1,-1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,DividendsPaid,ifrs/2023
0001193125-24-036626,9,26,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,DividendsPaidClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-036626,9,21,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,DividendsReceivedFromInvestmentsAccountedForUsingEquityMethodClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-036626,9,31,1,IncreaseDecreaseInCashAndCashEquivalents,ifrs/2023,EffectOfExchangeRateChangesOnCashAndCashEquivalents,ifrs/2023
0001193125-24-036626,12,23,1,EquityAndLiabilities,ifrs/2023,Equity,ifrs/2023
0001193125-24-036626,12,24,1,Equity,ifrs/2023,EquityAttributableToOwnersOfParent,ifrs/2023
0001193125-24-036626,3,7,-1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,ifrs/2023
0001193125-24-036626,7,4,-1,ProfitLossBeforeTax,ifrs/2023,ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,ifrs/2023
0001193125-24-036626,16,8,1,FinanceIncomeCost,ifrs/2023,FinanceIncome,ifrs/2023
0001193125-24-036626,3,13,1,ProfitLossBeforeTax,ifrs/2023,FinanceIncomeCost,ifrs/2023
0001193125-24-036626,11,5,1,InventoriesTotal,ifrs/2023,FinishedGoods,ifrs/2023
0001193125-24-036626,16,7,1,FinanceIncomeCost,ifrs/2023,GainLossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid,ifrs/2023
0001193125-24-036626,2,13,1,OtherIncome,ifrs/2023,GainsLossesOnChangeInFairValueOfDerivatives,ifrs/2023
0001193125-24-036626,17,8,-1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,GainsLossesOnChangeInFairValueOfDerivatives,ifrs/2023
0001193125-24-036626,2,10,1,OtherIncome,ifrs/2023,GainsLossesOnDisposalsOfNoncurrentAssets,ifrs/2023
0001193125-24-036626,3,9,1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,GainsLossesOnExchangeDifferencesOnTranslationRecognisedInProfitOrLoss,ifrs/2023
0001193125-24-036626,2,12,1,OtherIncome,ifrs/2023,GainsLossesRecognisedInProfitOrLossExcludingExchangeDifferencesFairValueMeasurementAssets,ifrs/2023
0001193125-24-036626,17,10,-1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,GainsLossesRecognisedInProfitOrLossExcludingExchangeDifferencesFairValueMeasurementAssets,ifrs/2023
0001193125-24-036626,3,6,-1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,GeneralAndAdministrativeExpense,ifrs/2023
0001193125-24-036626,12,10,1,Assets,ifrs/2023,Goodwill,ifrs/2023
0001193125-24-036626,16,4,1,FinanceIncomeCost,ifrs/2023,HedgingGainsLossesForHedgeOfGroupOfItemsWithOffsettingRiskPositions,ifrs/2023
0001193125-24-036626,3,8,-1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,ImpairmentLossImpairmentGainAndReversalOfImpairmentLossDeterminedInAccordanceWithIFRS9,ifrs/2023
0001193125-24-036626,2,11,1,OtherIncome,ifrs/2023,IncomeFromReimbursementsUnderInsurancePolicies,ifrs/2023
0001193125-24-036626,9,15,-1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-036626,6,2,-1,ProfitLoss,ifrs/2023,IncomeTaxExpenseContinuingOperations,ifrs/2023
0001193125-24-036626,9,11,-1,CashFlowsFromUsedInOperations,ifrs/2023,IncreaseDecreaseInWorkingCapital,ifrs/2023
0001193125-24-036626,20,2,1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,IncreaseDecreaseThroughAcquisitionOfSubsidiary,ifrs/2023
0001193125-24-036626,20,6,1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,IncreaseDecreaseThroughTreasuryShareTransactions,ifrs/2023
0001193125-24-036626,20,7,1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,IncreaseDecreaseThroughTreasuryShareTransactions,ifrs/2023
0001193125-24-036626,12,9,1,Assets,ifrs/2023,IntangibleAssetsOtherThanGoodwill,ifrs/2023
0001193125-24-036626,16,5,1,FinanceIncomeCost,ifrs/2023,InterestCostsCapitalised,ifrs/2023
0001193125-24-036626,16,1,-1,FinanceIncomeCost,ifrs/2023,InterestExpense,ifrs/2023
0001193125-24-036626,1,2,1,InterestCostsIncurred,ifrs/2023,InterestExpenseOnBorrowings,ifrs/2023
0001193125-24-036626,16,3,-1,FinanceIncomeCost,ifrs/2023,InterestExpenseOnLeaseLiabilities,ifrs/2023
0001193125-24-036626,9,13,-1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,InterestPaidClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-036626,9,14,1,CashFlowsFromUsedInOperatingActivities,ifrs/2023,InterestReceivedClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-036626,21,2,1,InventoriesTotal,ifrs/2023,Inventories,ifrs/2023
0001193125-24-036626,12,4,1,CurrentAssets,ifrs/2023,Inventories,ifrs/2023
0001193125-24-036626,12,7,1,Assets,ifrs/2023,InvestmentAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-036626,12,25,1,EquityAttributableToOwnersOfParent,ifrs/2023,IssuedCapital,ifrs/2023
0001193125-24-036626,15,2,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationPostemploymentBenefits,ifrs/2023
0001193125-24-036626,15,3,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationSharebasedPayment,ifrs/2023
0001193125-24-036626,15,1,1,KeyManagementPersonnelCompensation,ifrs/2023,KeyManagementPersonnelCompensationShorttermEmployeeBenefits,ifrs/2023
0001193125-24-036626,12,13,1,EquityAndLiabilities,ifrs/2023,Liabilities,ifrs/2023
0001193125-24-036626,12,19,1,Liabilities,ifrs/2023,LongtermBorrowings,ifrs/2023
0001193125-24-036626,2,7,1,OtherExpenseByNature,ifrs/2023,LossesOnLitigationSettlements,ifrs/2023
0001193125-24-036626,2,8,1,OtherExpenseByNature,ifrs/2023,MiscellaneousOtherOperatingExpense,ifrs/2023
0001193125-24-036626,2,15,1,OtherIncome,ifrs/2023,MiscellaneousOtherOperatingIncome,ifrs/2023
0001193125-24-036626,12,29,1,Equity,ifrs/2023,NoncontrollingInterests,ifrs/2023
0001193125-24-036626,8,2,1,OtherNoncurrentAssets,ifrs/2023,NoncurrentFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,ifrs/2023
0001193125-24-036626,12,6,1,Assets,ifrs/2023,NoncurrentInventories,ifrs/2023
0001193125-24-036626,8,6,1,OtherNoncurrentAssets,ifrs/2023,NoncurrentPrepayments,ifrs/2023
0001193125-24-036626,8,3,1,OtherNoncurrentAssets,ifrs/2023,NoncurrentReceivables,ifrs/2023
0001193125-24-036626,8,8,1,OtherNoncurrentAssets,ifrs/2023,NoncurrentReceivablesDueFromJointVentures,ifrs/2023
0001193125-24-036626,8,1,1,OtherNoncurrentAssets,ifrs/2023,NoncurrentReceivablesFromTaxesOtherThanIncomeTax,ifrs/2023
0001193125-24-036626,8,5,1,OtherNoncurrentAssets,ifrs/2023,NoncurrentRestrictedCashAndCashEquivalents,ifrs/2023
0001193125-24-036626,10,1,1,CostOfSales,ifrs/2023,OperatingExpense,ifrs/2023
0001193125-24-036626,22,2,1,ComprehensiveIncome,ifrs/2023,OtherComprehensiveIncome,ifrs/2023
0001193125-24-036626,22,4,1,OtherComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,ifrs/2023
0001193125-24-036626,22,6,1,OtherComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,ifrs/2023
0001193125-24-036626,22,5,1,OtherComprehensiveIncome,ifrs/2023,OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,ifrs/2023
0001193125-24-036626,12,5,1,CurrentAssets,ifrs/2023,OtherCurrentAssets,ifrs/2023
0001193125-24-036626,12,18,1,CurrentLiabilities,ifrs/2023,OtherCurrentLiabilities,ifrs/2023
0001193125-24-036626,12,28,1,EquityAttributableToOwnersOfParent,ifrs/2023,OtherEquityInterest,ifrs/2023
0001193125-24-036626,2,1,-1,OtherOperatingIncomeExpense,ifrs/2023,OtherExpenseByNature,ifrs/2023
0001193125-24-036626,8,7,1,OtherNoncurrentAssets,ifrs/2023,OtherFinancialAssets,ifrs/2023
0001193125-24-036626,2,9,1,OtherOperatingIncomeExpense,ifrs/2023,OtherIncome,ifrs/2023
0001193125-24-036626,9,30,1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-036626,9,12,1,CashFlowsFromUsedInOperations,ifrs/2023,OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,ifrs/2023
0001193125-24-036626,12,20,1,Liabilities,ifrs/2023,OtherLongtermProvisions,ifrs/2023
0001193125-24-036626,14,2,1,OtherProvisions,ifrs/2023,OtherLongtermProvisions,ifrs/2023
0001193125-24-036626,12,12,1,Assets,ifrs/2023,OtherNoncurrentAssets,ifrs/2023
0001193125-24-036626,12,22,1,Liabilities,ifrs/2023,OtherNoncurrentLiabilities,ifrs/2023
0001193125-24-036626,7,5,1,ProfitLossBeforeTax,ifrs/2023,OtherOperatingIncomeExpense,ifrs/2023
0001193125-24-036626,3,12,1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,OtherOperatingIncomeExpense,ifrs/2023
0001193125-24-036626,5,17,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,OtherTaxEffectsForReconciliationBetweenAccountingProfitAndTaxExpenseIncome,ifrs/2023
0001193125-24-036626,9,24,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,PaymentsOfLeaseLiabilitiesClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-036626,9,27,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,PaymentsToAcquireOrRedeemEntitysShares,ifrs/2023
0001193125-24-036626,17,15,-1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,PaymentsToAndOnBehalfOfEmployees,ifrs/2023
0001193125-24-036626,9,28,1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,ProceedsFromContributionsOfNoncontrollingInterests,ifrs/2023
0001193125-24-036626,17,6,1,OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,ifrs/2023,ProceedsFromIssueOfBondsNotesAndDebentures,ifrs/2023
0001193125-24-036626,9,19,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,ProceedsFromSalesOfInvestmentsOtherThanInvestmentsAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-036626,9,18,1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-036626,11,3,1,InventoriesTotal,ifrs/2023,ProductionSupplies,ifrs/2023
0001193125-24-036626,9,3,1,CashFlowsFromUsedInOperations,ifrs/2023,ProfitLoss,ifrs/2023
0001193125-24-036626,22,1,1,ComprehensiveIncome,ifrs/2023,ProfitLoss,ifrs/2023
0001193125-24-036626,3,2,1,ProfitLoss,ifrs/2023,ProfitLossAttributableToNoncontrollingInterests,ifrs/2023
0001193125-24-036626,3,1,1,ProfitLoss,ifrs/2023,ProfitLossAttributableToOwnersOfParent,ifrs/2023
0001193125-24-036626,6,1,1,ProfitLoss,ifrs/2023,ProfitLossBeforeTax,ifrs/2023
0001193125-24-036626,12,8,1,Assets,ifrs/2023,PropertyPlantAndEquipment,ifrs/2023
0001193125-24-036626,9,20,-1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,PurchaseOfInvestmentsOtherThanInvestmentsAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-036626,9,17,-1,CashFlowsFromUsedInInvestingActivities,ifrs/2023,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,ifrs/2023
0001193125-24-036626,8,4,1,OtherNoncurrentAssets,ifrs/2023,ReceivablesDueFromJointVentures,ifrs/2023
0001193125-24-036626,22,3,-1,OtherComprehensiveIncome,ifrs/2023,ReclassificationAdjustmentsOnCashFlowHedgesNetOfTax,ifrs/2023
0001193125-24-036626,9,25,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,RepaymentsOfBorrowingsClassifiedAsFinancingActivities,ifrs/2023
0001193125-24-036626,12,26,1,EquityAttributableToOwnersOfParent,ifrs/2023,RetainedEarnings,ifrs/2023
0001193125-24-036626,3,4,1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,Revenue,ifrs/2023
0001193125-24-036626,7,1,1,ProfitLossBeforeTax,ifrs/2023,Revenue,ifrs/2023
0001193125-24-036626,2,14,1,OtherIncome,ifrs/2023,RevenueFromInterest,ifrs/2023
0001193125-24-036626,10,3,1,CostOfSales,ifrs/2023,RoyaltyExpense,ifrs/2023
0001193125-24-036626,3,11,1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,ifrs/2023
0001193125-24-036626,18,2,1,CashAndCashEquivalents,ifrs/2023,ShorttermDepositsClassifiedAsCashEquivalents,ifrs/2023
0001193125-24-036626,18,3,1,CashAndCashEquivalents,ifrs/2023,ShorttermInvestmentsClassifiedAsCashEquivalents,ifrs/2023
0001193125-24-036626,5,13,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectFromChangeInTaxRate,ifrs/2023
0001193125-24-036626,5,4,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfExpenseNotDeductibleInDeterminingTaxableProfitTaxLoss,ifrs/2023
0001193125-24-036626,5,3,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfForeignTaxRates,ifrs/2023
0001193125-24-036626,5,5,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfImpairmentOfGoodwill,ifrs/2023
0001193125-24-036626,5,1,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxExpenseIncomeAtApplicableTaxRate,ifrs/2023
0001193125-24-036626,12,15,1,CurrentLiabilities,ifrs/2023,TradeAndOtherCurrentPayables,ifrs/2023
0001193125-24-036626,13,1,1,TradeAndOtherCurrentPayables,ifrs/2023,TradeAndOtherCurrentPayablesToTradeSuppliers,ifrs/2023
0001193125-24-036626,12,3,1,CurrentAssets,ifrs/2023,TradeAndOtherCurrentReceivables,ifrs/2023
0001193125-24-036626,11,4,1,InventoriesTotal,ifrs/2023,WorkInProgress,ifrs/2023
0001193125-24-036626,17,13,1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,WritedownsReversalsOfInventories,ifrs/2023
0001193125-24-036626,2,6,1,OtherExpenseByNature,ifrs/2023,WritedownsReversalsOfInventories,ifrs/2023
0001193125-24-036626,16,6,-1,FinanceIncomeCost,ifrs/2023,AccretionExpenses,0001193125-24-036626
0001193125-24-036626,13,2,1,TradeAndOtherCurrentPayables,ifrs/2023,AccrualsClassifiedAsCurrentOtherThanPayrollAccruals,0001193125-24-036626
0001193125-24-036626,17,7,1,OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,ifrs/2023,AdjustmentForGainLossOnDebtExtinguishment,0001193125-24-036626
0001193125-24-036626,17,14,1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,AdjustmentsForDecreaseIncreaseInOtherAssetsAndLiabilities,0001193125-24-036626
0001193125-24-036626,16,2,-1,FinanceIncomeCost,ifrs/2023,AmortizationOfDebtIssueCosts,0001193125-24-036626
0001193125-24-036626,10,4,1,CostOfSales,ifrs/2023,CommunityRelationsExpense,0001193125-24-036626
0001193125-24-036626,7,2,-1,ProfitLossBeforeTax,ifrs/2023,CostOfSalesExcludingDepreciationExpense,0001193125-24-036626
0001193125-24-036626,19,1,1,CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,ifrs/2023,CurrentDomesticTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,0001193125-24-036626
0001193125-24-036626,19,2,1,CurrentTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,ifrs/2023,CurrentForeignTaxExpenseIncomeAndAdjustmentsForCurrentTaxOfPriorPeriods,0001193125-24-036626
0001193125-24-036626,3,10,-1,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626,DecommissioningRestorationAndRehabilitationCosts,0001193125-24-036626
0001193125-24-036626,20,4,-1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,DecreaseThroughDisbursementsToNonControllingInterests,0001193125-24-036626
0001193125-24-036626,19,3,1,DeferredTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626,DeferredDomesticTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626
0001193125-24-036626,19,4,1,DeferredTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626,DeferredForeignTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626
0001193125-24-036626,4,4,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,DeferredTaxExpenseIncomeAndAdjustmentsForDeferredTaxOfPriorPeriods,0001193125-24-036626
0001193125-24-036626,20,5,1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,DividendsReinvestedByOwners,0001193125-24-036626
0001193125-24-036626,20,9,1,NumberOfSharesIssuedInTransactionsWithOwners,0001193125-24-036626,IncreaseDecreaseThroughShareRepurchaseProgramShares,0001193125-24-036626
0001193125-24-036626,20,10,1,NumberOfSharesIssuedInTransactionsWithOwners,0001193125-24-036626,IncreaseDecreaseThroughShareRepurchaseProgramShares,0001193125-24-036626
0001193125-24-036626,20,3,1,IncreaseDecreaseThroughTransactionsWithOwners,ifrs/2023,IncreaseThroughFundingFromNonControllingInterests,0001193125-24-036626
0001193125-24-036626,2,2,1,OtherExpenseByNature,ifrs/2023,LitigationCosts,0001193125-24-036626
0001193125-24-036626,2,3,1,OtherExpenseByNature,ifrs/2023,MiscellaneousWriteOffsReversals,0001193125-24-036626
0001193125-24-036626,21,1,1,InventoriesTotal,ifrs/2023,NonCurrentOreInStockpilesAndOnLeachPads,0001193125-24-036626
0001193125-24-036626,20,8,1,NumberOfSharesIssuedInTransactionsWithOwners,0001193125-24-036626,NumberOfSharesIssuedInDividendReinvestmentPlanWithOwners,0001193125-24-036626
0001193125-24-036626,11,1,1,InventoriesTotal,ifrs/2023,OreInStockpiles,0001193125-24-036626
0001193125-24-036626,11,2,1,InventoriesTotal,ifrs/2023,OreOnLeachPads,0001193125-24-036626
0001193125-24-036626,9,29,-1,CashFlowsFromUsedInFinancingActivities,ifrs/2023,PaymentsForDistributionsToNonControllingInterests,0001193125-24-036626
0001193125-24-036626,13,3,1,TradeAndOtherCurrentPayables,ifrs/2023,PayrollAccruals,0001193125-24-036626
0001193125-24-036626,2,5,1,OtherExpenseByNature,ifrs/2023,PorgeraCareAndMaintenanceCosts,0001193125-24-036626
0001193125-24-036626,3,3,1,ProfitLossBeforeTax,ifrs/2023,ProfitLossBeforeFinanceIncomeCostsAndIncomeTaxExpense,0001193125-24-036626
0001193125-24-036626,17,16,-1,OtherAdjustmentsToReconcileProfitLoss,ifrs/2023,SettlementOfRehabilitationObligations,0001193125-24-036626
0001193125-24-036626,5,10,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectFromRecognitionAndDeRecognitionOfDeferredTaxAssets,0001193125-24-036626
0001193125-24-036626,5,11,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfAdjustmentsForTaxOfPriorPeriods,0001193125-24-036626
0001193125-24-036626,5,2,-1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfAllowancesAndSpecialTaxDeductions,0001193125-24-036626
0001193125-24-036626,5,16,-1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfAmountsRecognizedWithinAccumulatedOCI,0001193125-24-036626
0001193125-24-036626,5,12,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfContingentLiabilities,0001193125-24-036626
0001193125-24-036626,5,9,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfCurrentYearTaxResultsShelteredByPreviouslyUnrecognizedDeferredTaxAssets,0001193125-24-036626
0001193125-24-036626,5,8,-1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfIncomeLossOfEquityMethodInvestments,0001193125-24-036626
0001193125-24-036626,5,15,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfMiningTaxes,0001193125-24-036626
0001193125-24-036626,5,7,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfNetCurrencyTranslationDifferencesOnTaxBalances,0001193125-24-036626
0001193125-24-036626,5,6,1,IncomeTaxExpenseContinuingOperations,ifrs/2023,TaxEffectOfSalesOfNonCurrentAssets,0001193125-24-036626
